i_reset = 1, o_cnt = x, o_decade = xx, i_cnt_en = 0, o_en_cnt = x, i_time_val = 30, o_time_cnt = x, o_time_en = x, o_clock_h = x, o_clock_m = x, o_clock_s = x
i_reset = 0, o_cnt =  53, o_decade = 53, i_cnt_en = 0, o_en_cnt =   9, i_time_val = 30, o_time_cnt = 22, o_time_en = 0, o_clock_h = 0, o_clock_m =  0, o_clock_s = 53
i_reset = 0, o_cnt =  54, o_decade = 54, i_cnt_en = 0, o_en_cnt =   9, i_time_val = 30, o_time_cnt = 23, o_time_en = 0, o_clock_h = 0, o_clock_m =  0, o_clock_s = 54
i_reset = 0, o_cnt =  55, o_decade = 55, i_cnt_en = 0, o_en_cnt =   9, i_time_val = 30, o_time_cnt = 24, o_time_en = 0, o_clock_h = 0, o_clock_m =  0, o_clock_s = 55
i_reset = 0, o_cnt =  56, o_decade = 56, i_cnt_en = 0, o_en_cnt =   9, i_time_val = 30, o_time_cnt = 25, o_time_en = 0, o_clock_h = 0, o_clock_m =  0, o_clock_s = 56
i_reset = 0, o_cnt =  57, o_decade = 57, i_cnt_en = 0, o_en_cnt =   9, i_time_val = 30, o_time_cnt = 26, o_time_en = 0, o_clock_h = 0, o_clock_m =  0, o_clock_s = 57
i_reset = 0, o_cnt =  58, o_decade = 58, i_cnt_en = 1, o_en_cnt =   9, i_time_val = 30, o_time_cnt = 27, o_time_en = 0, o_clock_h = 0, o_clock_m =  0, o_clock_s = 58
i_reset = 0, o_cnt =  59, o_decade = 59, i_cnt_en = 0, o_en_cnt =  10, i_time_val = 30, o_time_cnt = 28, o_time_en = 0, o_clock_h = 0, o_clock_m =  0, o_clock_s = 59
i_reset = 0, o_cnt =  60, o_decade = 60, i_cnt_en = 0, o_en_cnt =  10, i_time_val = 30, o_time_cnt = 29, o_time_en = 0, o_clock_h = 0, o_clock_m =  1, o_clock_s =  0
i_reset = 0, o_cnt =  61, o_decade = 61, i_cnt_en = 0, o_en_cnt =  10, i_time_val = 30, o_time_cnt = 30, o_time_en = 1, o_clock_h = 0, o_clock_m =  1, o_clock_s =  1
i_reset = 0, o_cnt =  62, o_decade = 62, i_cnt_en = 0, o_en_cnt =  10, i_time_val = 30, o_time_cnt =  0, o_time_en = 0, o_clock_h = 0, o_clock_m =  1, o_clock_s =  2
i_reset = 0, o_cnt =  63, o_decade = 63, i_cnt_en = 0, o_en_cnt =  10, i_time_val = 30, o_time_cnt =  1, o_time_en = 0, o_clock_h = 0, o_clock_m =  1, o_clock_s =  3
i_reset = 0, o_cnt =  64, o_decade = 64, i_cnt_en = 1, o_en_cnt =  10, i_time_val = 30, o_time_cnt =  2, o_time_en = 0, o_clock_h = 0, o_clock_m =  1, o_clock_s =  4
