areset = 1, o_cnt = x, o_decade = xx, cnt_en = 0, o_en_cnt = x, time_val = 30, o_time_cnt = x, o_time_en = x, o_clk_h = x, o_clk_m = x, o_clk_s = x
areset = 0, o_cnt =  18, o_decade = 18, cnt_en = 0, o_en_cnt =   3, time_val = 30, o_time_cnt = 18, o_time_en = 0, o_clk_h = 0, o_clk_m =  0, o_clk_s = 18
areset = 0, o_cnt =  19, o_decade = 19, cnt_en = 0, o_en_cnt =   3, time_val = 30, o_time_cnt = 19, o_time_en = 0, o_clk_h = 0, o_clk_m =  0, o_clk_s = 19
areset = 0, o_cnt =  20, o_decade = 20, cnt_en = 0, o_en_cnt =   3, time_val = 30, o_time_cnt = 20, o_time_en = 0, o_clk_h = 0, o_clk_m =  0, o_clk_s = 20
areset = 0, o_cnt =  21, o_decade = 21, cnt_en = 0, o_en_cnt =   3, time_val = 30, o_time_cnt = 21, o_time_en = 0, o_clk_h = 0, o_clk_m =  0, o_clk_s = 21
areset = 0, o_cnt =  22, o_decade = 22, cnt_en = 1, o_en_cnt =   3, time_val = 30, o_time_cnt = 22, o_time_en = 0, o_clk_h = 0, o_clk_m =  0, o_clk_s = 22
areset = 0, o_cnt =  23, o_decade = 23, cnt_en = 0, o_en_cnt =   4, time_val = 30, o_time_cnt = 23, o_time_en = 0, o_clk_h = 0, o_clk_m =  0, o_clk_s = 23
areset = 0, o_cnt =  24, o_decade = 24, cnt_en = 0, o_en_cnt =   4, time_val = 30, o_time_cnt = 24, o_time_en = 0, o_clk_h = 0, o_clk_m =  0, o_clk_s = 24
areset = 0, o_cnt =  25, o_decade = 25, cnt_en = 0, o_en_cnt =   4, time_val = 30, o_time_cnt = 25, o_time_en = 0, o_clk_h = 0, o_clk_m =  0, o_clk_s = 25
areset = 0, o_cnt =  26, o_decade = 26, cnt_en = 0, o_en_cnt =   4, time_val = 30, o_time_cnt = 26, o_time_en = 0, o_clk_h = 0, o_clk_m =  0, o_clk_s = 26
areset = 0, o_cnt =  27, o_decade = 27, cnt_en = 0, o_en_cnt =   4, time_val = 30, o_time_cnt = 27, o_time_en = 0, o_clk_h = 0, o_clk_m =  0, o_clk_s = 27
areset = 0, o_cnt =  28, o_decade = 28, cnt_en = 1, o_en_cnt =   4, time_val = 30, o_time_cnt = 28, o_time_en = 0, o_clk_h = 0, o_clk_m =  0, o_clk_s = 28
areset = 0, o_cnt =  29, o_decade = 29, cnt_en = 0, o_en_cnt =   5, time_val = 30, o_time_cnt = 29, o_time_en = 0, o_clk_h = 0, o_clk_m =  0, o_clk_s = 29
areset = 0, o_cnt =  30, o_decade = 30, cnt_en = 0, o_en_cnt =   5, time_val = 30, o_time_cnt = 30, o_time_en = 1, o_clk_h = 0, o_clk_m =  0, o_clk_s = 30
areset = 0, o_cnt =  31, o_decade = 31, cnt_en = 0, o_en_cnt =   5, time_val = 30, o_time_cnt =  0, o_time_en = 0, o_clk_h = 0, o_clk_m =  0, o_clk_s = 31
areset = 0, o_cnt =  32, o_decade = 32, cnt_en = 0, o_en_cnt =   5, time_val = 30, o_time_cnt =  1, o_time_en = 0, o_clk_h = 0, o_clk_m =  0, o_clk_s = 32
areset = 0, o_cnt =  33, o_decade = 33, cnt_en = 0, o_en_cnt =   5, time_val = 30, o_time_cnt =  2, o_time_en = 0, o_clk_h = 0, o_clk_m =  0, o_clk_s = 33
areset = 0, o_cnt =  34, o_decade = 34, cnt_en = 1, o_en_cnt =   5, time_val = 30, o_time_cnt =  3, o_time_en = 0, o_clk_h = 0, o_clk_m =  0, o_clk_s = 34
areset = 0, o_cnt =  35, o_decade = 35, cnt_en = 0, o_en_cnt =   6, time_val = 30, o_time_cnt =  4, o_time_en = 0, o_clk_h = 0, o_clk_m =  0, o_clk_s = 35
areset = 0, o_cnt =  36, o_decade = 36, cnt_en = 0, o_en_cnt =   6, time_val = 30, o_time_cnt =  5, o_time_en = 0, o_clk_h = 0, o_clk_m =  0, o_clk_s = 36
areset = 0, o_cnt =  37, o_decade = 37, cnt_en = 0, o_en_cnt =   6, time_val = 30, o_time_cnt =  6, o_time_en = 0, o_clk_h = 0, o_clk_m =  0, o_clk_s = 37
areset = 0, o_cnt =  38, o_decade = 38, cnt_en = 0, o_en_cnt =   6, time_val = 30, o_time_cnt =  7, o_time_en = 0, o_clk_h = 0, o_clk_m =  0, o_clk_s = 38
areset = 0, o_cnt =  39, o_decade = 39, cnt_en = 0, o_en_cnt =   6, time_val = 30, o_time_cnt =  8, o_time_en = 0, o_clk_h = 0, o_clk_m =  0, o_clk_s = 39
areset = 0, o_cnt =  40, o_decade = 40, cnt_en = 1, o_en_cnt =   6, time_val = 30, o_time_cnt =  9, o_time_en = 0, o_clk_h = 0, o_clk_m =  0, o_clk_s = 40
areset = 0, o_cnt =  41, o_decade = 41, cnt_en = 0, o_en_cnt =   7, time_val = 30, o_time_cnt = 10, o_time_en = 0, o_clk_h = 0, o_clk_m =  0, o_clk_s = 41
areset = 0, o_cnt =  42, o_decade = 42, cnt_en = 0, o_en_cnt =   7, time_val = 30, o_time_cnt = 11, o_time_en = 0, o_clk_h = 0, o_clk_m =  0, o_clk_s = 42
areset = 0, o_cnt =  43, o_decade = 43, cnt_en = 0, o_en_cnt =   7, time_val = 30, o_time_cnt = 12, o_time_en = 0, o_clk_h = 0, o_clk_m =  0, o_clk_s = 43
areset = 0, o_cnt =  44, o_decade = 44, cnt_en = 0, o_en_cnt =   7, time_val = 30, o_time_cnt = 13, o_time_en = 0, o_clk_h = 0, o_clk_m =  0, o_clk_s = 44
areset = 0, o_cnt =  45, o_decade = 45, cnt_en = 0, o_en_cnt =   7, time_val = 30, o_time_cnt = 14, o_time_en = 0, o_clk_h = 0, o_clk_m =  0, o_clk_s = 45
areset = 0, o_cnt =  46, o_decade = 46, cnt_en = 1, o_en_cnt =   7, time_val = 30, o_time_cnt = 15, o_time_en = 0, o_clk_h = 0, o_clk_m =  0, o_clk_s = 46
areset = 0, o_cnt =  47, o_decade = 47, cnt_en = 0, o_en_cnt =   8, time_val = 30, o_time_cnt = 16, o_time_en = 0, o_clk_h = 0, o_clk_m =  0, o_clk_s = 47
areset = 0, o_cnt =  48, o_decade = 48, cnt_en = 0, o_en_cnt =   8, time_val = 30, o_time_cnt = 17, o_time_en = 0, o_clk_h = 0, o_clk_m =  0, o_clk_s = 48
areset = 0, o_cnt =  49, o_decade = 49, cnt_en = 0, o_en_cnt =   8, time_val = 30, o_time_cnt = 18, o_time_en = 0, o_clk_h = 0, o_clk_m =  0, o_clk_s = 49
areset = 0, o_cnt =  50, o_decade = 50, cnt_en = 0, o_en_cnt =   8, time_val = 30, o_time_cnt = 19, o_time_en = 0, o_clk_h = 0, o_clk_m =  0, o_clk_s = 50
areset = 0, o_cnt =  51, o_decade = 51, cnt_en = 0, o_en_cnt =   8, time_val = 30, o_time_cnt = 20, o_time_en = 0, o_clk_h = 0, o_clk_m =  0, o_clk_s = 51
areset = 0, o_cnt =  52, o_decade = 52, cnt_en = 1, o_en_cnt =   8, time_val = 30, o_time_cnt = 21, o_time_en = 0, o_clk_h = 0, o_clk_m =  0, o_clk_s = 52
areset = 0, o_cnt =  53, o_decade = 53, cnt_en = 0, o_en_cnt =   9, time_val = 30, o_time_cnt = 22, o_time_en = 0, o_clk_h = 0, o_clk_m =  0, o_clk_s = 53
areset = 0, o_cnt =  54, o_decade = 54, cnt_en = 0, o_en_cnt =   9, time_val = 30, o_time_cnt = 23, o_time_en = 0, o_clk_h = 0, o_clk_m =  0, o_clk_s = 54
areset = 0, o_cnt =  55, o_decade = 55, cnt_en = 0, o_en_cnt =   9, time_val = 30, o_time_cnt = 24, o_time_en = 0, o_clk_h = 0, o_clk_m =  0, o_clk_s = 55
areset = 0, o_cnt =  56, o_decade = 56, cnt_en = 0, o_en_cnt =   9, time_val = 30, o_time_cnt = 25, o_time_en = 0, o_clk_h = 0, o_clk_m =  0, o_clk_s = 56
areset = 0, o_cnt =  57, o_decade = 57, cnt_en = 0, o_en_cnt =   9, time_val = 30, o_time_cnt = 26, o_time_en = 0, o_clk_h = 0, o_clk_m =  0, o_clk_s = 57
areset = 0, o_cnt =  58, o_decade = 58, cnt_en = 1, o_en_cnt =   9, time_val = 30, o_time_cnt = 27, o_time_en = 0, o_clk_h = 0, o_clk_m =  0, o_clk_s = 58
areset = 0, o_cnt =  59, o_decade = 59, cnt_en = 0, o_en_cnt =  10, time_val = 30, o_time_cnt = 28, o_time_en = 0, o_clk_h = 0, o_clk_m =  0, o_clk_s = 59
